"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20161","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","recette","Mon Dec 01 17:40:17 GMT 2025","passed","Mon Dec 01 17:40:37 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","12574","2SQA2-2560 | @P0 Move contract status from Valid into Error","recette","Mon Dec 01 17:41:32 GMT 2025","passed","Mon Dec 01 17:41:45 GMT 2025","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","16134","2SQA2-2567 | @P0 Move contract status from valid into Archived","recette","Mon Dec 01 17:41:57 GMT 2025","passed","Mon Dec 01 17:42:13 GMT 2025","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","21235","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","recette","Mon Dec 01 17:40:37 GMT 2025","passed","Mon Dec 01 17:40:58 GMT 2025","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","12764","2SQA2-2568 | @P0 Move contract status from Expired into Archived","recette","Mon Dec 01 17:42:44 GMT 2025","passed","Mon Dec 01 17:42:57 GMT 2025","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","12400","2SQA2-2562 | @P0 Move contract status from to renew into Error","recette","Mon Dec 01 17:41:20 GMT 2025","passed","Mon Dec 01 17:41:32 GMT 2025","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","19115","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","recette","Mon Dec 01 17:39:58 GMT 2025","passed","Mon Dec 01 17:40:17 GMT 2025","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","21197","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","recette","Mon Dec 01 17:40:58 GMT 2025","passed","Mon Dec 01 17:41:20 GMT 2025","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","2470","A2SQA2-2526 | @P0 @Login Fails reset password when using wrong email","recette","Mon Dec 01 17:43:00 GMT 2025","passed","Mon Dec 01 17:43:02 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","19598","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","recette","Mon Dec 01 17:39:38 GMT 2025","passed","Mon Dec 01 17:39:58 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","2516","A2SQA2-2527 | @P0 @Login Reset password when using Inactif email","recette","Mon Dec 01 17:42:57 GMT 2025","passed","Mon Dec 01 17:43:00 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","14282","A2SQA2-2546 | @P0 @supplier Create new supplier","recette","Mon Dec 01 17:43:12 GMT 2025","passed","Mon Dec 01 17:43:27 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","20230","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","recette","Mon Dec 01 17:39:18 GMT 2025","passed","Mon Dec 01 17:39:38 GMT 2025","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","4921","A2SQA2-2522 | @P0 @Login Login with valid credentials","recette","Mon Dec 01 17:43:02 GMT 2025","passed","Mon Dec 01 17:43:07 GMT 2025","Login Tests","login/login.spec.ts","",""
"","2761","A2SQA2-2523 | @P0 @Login Login with inactif credentials","recette","Mon Dec 01 17:43:07 GMT 2025","passed","Mon Dec 01 17:43:10 GMT 2025","Login Tests","login/login.spec.ts","",""
"","30180","2SQA2-2566 | @P0 Move contract status from To renew into Archived","recette","Mon Dec 01 17:42:13 GMT 2025","broken","Mon Dec 01 17:42:44 GMT 2025","Move Contract into Archived  ","Contracts/EditContract.spec.ts","",""
"","2535","A2SQA2-2524 | @P0 @Login Login with invalid credentials","recette","Mon Dec 01 17:43:10 GMT 2025","passed","Mon Dec 01 17:43:12 GMT 2025","Login Tests","login/login.spec.ts","",""
"","12728","2SQA2-2561 | @P0 Move contract status from Expired into Error","recette","Mon Dec 01 17:41:45 GMT 2025","passed","Mon Dec 01 17:41:57 GMT 2025","Move Contract into Error","Contracts/EditContract.spec.ts","",""
"","20142","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","recette","Mon Dec 01 17:38:58 GMT 2025","passed","Mon Dec 01 17:39:18 GMT 2025","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
