"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7968","@P1 Should read contact data from first row","chromium","Thu Oct 30 22:28:34 GMT 2025","failed","Thu Oct 30 22:28:42 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","7379","A2SQA2-2522 | @P0 @Login Should login successfully with valid credentials","chromium","Thu Oct 30 22:29:32 GMT 2025","failed","Thu Oct 30 22:29:40 GMT 2025","Login Tests","login/login.spec.ts","",""
"","7971","@P1 filtrage combiné prénom + profile","chromium","Thu Oct 30 22:28:51 GMT 2025","failed","Thu Oct 30 22:28:59 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","31726","Filter by active contracts","chromium","Thu Oct 30 22:30:45 GMT 2025","broken","Thu Oct 30 22:31:17 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","2012","A2SQA2-2524 | @P0 @Login should fail when login with invalid credentials","chromium","Thu Oct 30 22:29:37 GMT 2025","passed","Thu Oct 30 22:29:39 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31330","Filter by name - partial match","chromium","Thu Oct 30 22:30:11 GMT 2025","broken","Thu Oct 30 22:30:42 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7966","@P1 filtrage par prénom","chromium","Thu Oct 30 22:28:43 GMT 2025","failed","Thu Oct 30 22:28:51 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","7749","@P1 Should display active and inactive icons","chromium","Thu Oct 30 22:28:25 GMT 2025","failed","Thu Oct 30 22:28:33 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","1777","A2SQA2-2527 | @P0 @Login Should not reset password when using Inactif email","chromium","Thu Oct 30 22:29:29 GMT 2025","passed","Thu Oct 30 22:29:30 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","7655","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","chromium","Thu Oct 30 22:29:17 GMT 2025","failed","Thu Oct 30 22:29:25 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","31444","Create new supplier","chromium","Thu Oct 30 22:29:39 GMT 2025","broken","Thu Oct 30 22:30:10 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
