"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5680","@P1 should display Show and Edit buttons","chromium","Thu Oct 30 22:16:41 GMT 2025","passed","Thu Oct 30 22:16:47 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","5250","@P1 Should display active and inactive icons","chromium","Thu Oct 30 22:16:42 GMT 2025","passed","Thu Oct 30 22:16:47 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","7686","@P1 filtrage par prénom","chromium","Thu Oct 30 22:16:54 GMT 2025","passed","Thu Oct 30 22:17:02 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","31184","A2SQA2-2281 | @P0 @Contact Should create Contact for: Business Developer","chromium","Thu Oct 30 22:17:43 GMT 2025","broken","Thu Oct 30 22:18:14 GMT 2025","@P0 @Contacts : Profil [Business Developer]","contacts/CreateContact.spec.ts","",""
"","6252","@P1 Should contain visible rows in the table","chromium","Thu Oct 30 22:16:35 GMT 2025","passed","Thu Oct 30 22:16:41 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","13181","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","chromium","Thu Oct 30 22:17:42 GMT 2025","failed","Thu Oct 30 22:17:55 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","31690","Create new supplier","chromium","Thu Oct 30 22:18:45 GMT 2025","broken","Thu Oct 30 22:19:16 GMT 2025","Suppliers module","suppliers/createsuplier.spec.ts","",""
"","6515","@P1 should open contact detail page by name","chromium","Thu Oct 30 22:16:47 GMT 2025","passed","Thu Oct 30 22:16:54 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","10253","A2SQA2-2284 | @P0 @Contact Should create Contact for: Supplier","chromium","Thu Oct 30 22:18:28 GMT 2025","failed","Thu Oct 30 22:18:38 GMT 2025","@P0 @Contacts : Profil [Supplier]","contacts/CreateContact.spec.ts","",""
"","2369","A2SQA2-2527 | @P0 @Login Should not reset password when using Inactif email","chromium","Thu Oct 30 22:18:31 GMT 2025","passed","Thu Oct 30 22:18:34 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","2492","A2SQA2-2526 | @P0 @Login Should not reset password when using wrong email","chromium","Thu Oct 30 22:18:34 GMT 2025","passed","Thu Oct 30 22:18:36 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
"","31451","A2SQA2-2278 | @P0 @Contact Should create Contact for: Central Admin","chromium","Thu Oct 30 22:17:10 GMT 2025","broken","Thu Oct 30 22:17:41 GMT 2025","@P0 @Contacts : Profil [Central Admin]","contacts/CreateContact.spec.ts","",""
"","31524","A2SQA2-2279 | @P0 @Contact Should create Contact for: Area Admin","chromium","Thu Oct 30 22:17:11 GMT 2025","broken","Thu Oct 30 22:17:42 GMT 2025","@P0 @Contacts : Profil [Area Admin]","contacts/CreateContact.spec.ts","",""
"","8442","@P1 Should display translated success message after export","chromium","Thu Oct 30 22:16:54 GMT 2025","passed","Thu Oct 30 22:17:02 GMT 2025","Contacts Export Message","contacts/contactsList.spec.ts","",""
"","31681","Filter by active contracts","chromium","Thu Oct 30 22:19:50 GMT 2025","broken","Thu Oct 30 22:20:21 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","12869","A2SQA2-2283 | @P0 @Contact Should create Contact for: client","chromium","Thu Oct 30 22:18:15 GMT 2025","failed","Thu Oct 30 22:18:28 GMT 2025","@P0 @Contacts : Profil [client]","contacts/CreateContact.spec.ts","",""
"","31225","Reset filters restores full list","chromium","Thu Oct 30 22:20:22 GMT 2025","broken","Thu Oct 30 22:20:53 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7132","@P1 Should read contact data from first row","chromium","Thu Oct 30 22:16:47 GMT 2025","passed","Thu Oct 30 22:16:54 GMT 2025","E2E Contacts List tests:","contacts/contactsList.spec.ts","",""
"","31587","Filter by code - valid supplier","chromium","Thu Oct 30 22:18:44 GMT 2025","broken","Thu Oct 30 22:19:16 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","31515","Filter by category","chromium","Thu Oct 30 22:19:49 GMT 2025","broken","Thu Oct 30 22:20:21 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","7575","A2SQA2-2522 | @P0 @Login Should login successfully with valid credentials","chromium","Thu Oct 30 22:18:36 GMT 2025","failed","Thu Oct 30 22:18:44 GMT 2025","Login Tests","login/login.spec.ts","",""
"","2285","A2SQA2-2523 | @P0 @Login Should fail when login with inactif credentials","chromium","Thu Oct 30 22:18:39 GMT 2025","passed","Thu Oct 30 22:18:42 GMT 2025","Login Tests","login/login.spec.ts","",""
"","31215","A2SQA2-2282 | @P0 @Contact Should create Contact for: Buyer","chromium","Thu Oct 30 22:17:56 GMT 2025","broken","Thu Oct 30 22:18:27 GMT 2025","@P0 @Contacts : Profil [Buyer]","contacts/CreateContact.spec.ts","",""
"","8104","@P1 filtrage par profil","chromium","Thu Oct 30 22:17:02 GMT 2025","passed","Thu Oct 30 22:17:10 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","8765","@P1 filtrage combiné prénom + profile","chromium","Thu Oct 30 22:17:02 GMT 2025","passed","Thu Oct 30 22:17:11 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","2778","A2SQA2-2525 | @P0 @Login Should sent password Reset correctly with valid email","chromium","Thu Oct 30 22:18:29 GMT 2025","passed","Thu Oct 30 22:18:31 GMT 2025","Mot de passe oublié:","login/Forgot-password.spec.ts","",""
