"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32474","A2SQA2-2522 | @P1 @Supplier Filter by code - valid supplier","chromium","Wed Nov 19 12:35:39 GMT 2025","broken","Wed Nov 19 12:36:12 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","8508","A2SQA2-2280 | @P0 @Contact Should create Contact for: Support","chromium","Wed Nov 19 12:35:18 GMT 2025","failed","Wed Nov 19 12:35:27 GMT 2025","@P0 @Contacts : Profil [Support]","contacts/CreateContact.spec.ts","",""
"","8725","@P1 @Contact Read contact data from first row","chromium","Wed Nov 19 12:34:59 GMT 2025","failed","Wed Nov 19 12:35:08 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","33007","A2SQA2-XX | @P1 @Supplier Filter by country","chromium","Wed Nov 19 12:35:43 GMT 2025","broken","Wed Nov 19 12:36:16 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","9513","@P1 @Contact Display Show and Edit buttons","chromium","Wed Nov 19 12:34:48 GMT 2025","failed","Wed Nov 19 12:34:58 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","10021","@P1 @Contact Display translated column headers","chromium","Wed Nov 19 12:34:48 GMT 2025","failed","Wed Nov 19 12:34:58 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","32094","A2SQA2-XX | @P1 @Supplier Filter by active contracts","chromium","Wed Nov 19 12:36:13 GMT 2025","broken","Wed Nov 19 12:36:45 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","8425","@P1 @Contact Filter by Email","chromium","Wed Nov 19 12:35:09 GMT 2025","failed","Wed Nov 19 12:35:17 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
"","2731","A2SQA2-2526 | @P0 @Login Fails reset password when using wrong email","chromium","Wed Nov 19 12:35:34 GMT 2025","passed","Wed Nov 19 12:35:37 GMT 2025","Reset Password:","login/Forgot-password.spec.ts","",""
"","10095","@P1 @Contact Check visible rows in the table","chromium","Wed Nov 19 12:34:48 GMT 2025","failed","Wed Nov 19 12:34:58 GMT 2025","Contacts List tests","contacts/contactsList.spec.ts","",""
"","31674","A2SQA2-XX | @P1 @Supplier Filter by category","chromium","Wed Nov 19 12:36:12 GMT 2025","broken","Wed Nov 19 12:36:43 GMT 2025","Suppliers Filters","suppliers/SuppliersList.spec.ts","",""
"","9154","@P1 @Contact Filter by Surname + profil","chromium","Wed Nov 19 12:35:10 GMT 2025","failed","Wed Nov 19 12:35:19 GMT 2025","Contacts Filtering","contacts/contactsList.spec.ts","",""
